task_id,task_text,answer,source,date_collected,type,complexity,domain
T0177,"Translate the following paragraph into Arabic: ""Our planning system also needs to adapt so that planners in suburban councils, who seem to be less supportive of change, are not the only determinants of the future shape of their suburbs. A way forward could be to have an independent decision-making body that championed quality design as long as it fitted below the tree tops and incorporated family living, large balconies, common gardens and presented a friendly appearance. This could be a role for the current NSW government architect working within a carefully crafted complying code.""",يحتاج نظام التخطيط لدينا أيضًا إلى التكيف بحيث لا يكون مخططو المجالس المحلية في الضواحي، الذين يبدو أنهم أقل دعمًا للتغيير، هم وحدهم من يحددون الشكل المستقبلي لضواحيهم. وقد يتمثل أحد الحلول في إنشاء هيئة مستقلة لاتخاذ القرارات تدافع عن جودة التصميم، شريطة أن يظل التصميم تحت مستوى قمم الأشجار وأن يراعي السكن العائلي والشرفات الكبيرة والحدائق المشتركة، وأن يتمتع بمظهر ودود. ويمكن أن يكون هذا دور المهندس المعماري الحالي لحكومة نيو ساوث ويلز، الذي يعمل ضمن مدونة تنظيمية مصممة بعناية ومتوافقة مع المتطلبات.,WMT translation,2026-08-29,,,
T0178,"Translate the following paragraph into Arabic: ""Over the past decade, our lives have changed through technology, with many working from home, and Sydney has gained an impressive network of metro and light rail systems. Our ability to purchase online has changed the way we shop, and friends and family seem closer because of smartphone communication. All of these adaptations from one system to another can also occur in our built environment through a planning focus on adaptive reuse rather than preferencing heritage preservation.""",على مدى العقد الماضي، تغيرت حياتنا بفضل التكنولوجيا، إذ أصبح كثيرون يعملون من المنزل، كما اكتسبت سيدني شبكة مثيرة للإعجاب من أنظمة المترو والقطارات الخفيفة. وقد غيّرت قدرتنا على الشراء عبر الإنترنت طريقة تسوقنا، وأصبح الأصدقاء والعائلة يبدون أقرب بفضل التواصل عبر الهواتف الذكية. ويمكن أن تحدث كل هذه التحولات من نظام إلى آخر أيضًا في بيئتنا العمرانية من خلال التركيز في التخطيط على إعادة الاستخدام التكيفي بدلًا من إعطاء الأولوية للحفاظ على التراث.,WMT translation,2026-08-29,,,
T0179,"Translate the following paragraph into Arabic: ""Chris Johnson is a former NSW government architect (1995-2005) and executive director, NSW Department of Planning (2005-2009). He was CEO of Urban Taskforce Australia between 2011 and 2019.""",كريس جونسون هو مهندس معماري سابق لحكومة نيو ساوث ويلز (1995-2005)، ومدير تنفيذي في إدارة التخطيط بولاية نيو ساوث ويلز (2005-2009). وكان الرئيس التنفيذي لمنظمة Urban Taskforce Australia بين عامي 2011 و2019.,WMT translation,2026-08-29,,,
T0180,"Translate the following title into Arabic: ""A final push for female equality""",دفعة أخيرة نحو تحقيق المساواة للمرأة,WMT translation,2026-08-29,,,
T0181,"Translate the following paragraph into Arabic: ""Last year, the World Economic Forum forecast that it would take five generations to achieve gender equality in every nation. Now the World Bank wants to rapidly accelerate that time frame.""",في العام الماضي، توقّع المنتدى الاقتصادي العالمي أن تحقيق المساواة بين الجنسين في كل دولة سيستغرق خمسة أجيال. والآن يريد البنك الدولي تسريع هذا الإطار الزمني بشكل كبير.,WMT translation,2026-08-29,,,
T0182,"Translate the following paragraph into Arabic: ""The international financial institution is poised to launch a strategy aimed at significantly advancing the rights and economic opportunities for girls and women by 2030. The plan focuses on improving inclusivity and resilience through access to finance, technological innovation, and changes in public policy and law.""",تستعد المؤسسة المالية الدولية لإطلاق استراتيجية تهدف إلى تعزيز حقوق الفتيات والنساء وفرصهن الاقتصادية بشكل كبير بحلول عام 2030. وتركز الخطة على تحسين الشمول والقدرة على الصمود من خلال الوصول إلى التمويل، والابتكار التكنولوجي، وإجراء تغييرات في السياسات العامة والقوانين.,WMT translation,2026-08-29,,,
T0183,"Translate the following paragraph into Arabic: ""Recent research demonstrates that both social norms and mindsets can change, for example, that engaging men and boys can foster their support and buy-in for gender equality,"" a consultative draft of the plan states. ""Positive gender outcomes can be accelerated and scaled with a better understanding of ... how social norms and mindsets shape everyday expectations, priorities, and practices.""",تُظهر الأبحاث الحديثة أن الأعراف الاجتماعية وطرق التفكير يمكن أن تتغير، فعلى سبيل المثال، يمكن لإشراك الرجال والفتيان أن يعزز دعمهم وقبولهم للمساواة بين الجنسين، وفقًا لمسودة تشاورية للخطة. وتذكر المسودة أن النتائج الإيجابية المتعلقة بالمساواة بين الجنسين يمكن تسريعها وتوسيع نطاقها من خلال فهم أفضل لكيفية تشكيل الأعراف الاجتماعية وطرق التفكير للتوقعات والأولويات والممارسات اليومية.,WMT translation,2026-08-29,,,
T0184,"Translate the following paragraph into Arabic: ""Shifts in thought are harder to quantify than bank loans for rural women or school enrollment for girls. Yet there is plenty of evidence that female agency can move mountains. In Iran, for example, women have led the greatest threat to the Islamic government in 40 years simply by refusing to comply with laws that force them to cover their hair. In some of the 130 countries with minimum quotas for female representation in government, such as India, male resistance to female voting and political activism has eased.""",يصعب قياس التحولات في الأفكار أكثر من قياس القروض المصرفية المقدمة للنساء في المناطق الريفية أو معدلات التحاق الفتيات بالمدارس. ومع ذلك، هناك أدلة كثيرة على أن تمكين المرأة وقدرتها على اتخاذ القرار يمكن أن يحقق تغييرات هائلة. ففي إيران، على سبيل المثال، قادت النساء أكبر تحدٍّ للحكومة الإسلامية خلال 40 عامًا، وذلك ببساطة من خلال رفض الامتثال للقوانين التي تجبرهن على تغطية شعرهن. وفي بعض الدول الـ130 التي لديها حصص دنيا لتمثيل النساء في الحكومة، مثل الهند، تراجعت مقاومة الرجال لتصويت النساء ونشاطهن السياسي.,WMT translation,2026-08-29,,,
T0185,"Summarize this article: LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a spell on him. Daniel Radcliffe as Harry Potter in """"Harry Potter and the Order of the Phoenix"""" To the disappointment of gossip columnists around the world, the young actor says he has no plans to fritter his cash away on fast cars, drink and celebrity parties. """"I don't plan to be one of those people who, as soon as they turn 18, suddenly buy themselves a massive sports car collection or something similar,"""" he told an Australian interviewer earlier this month. """"I don't think I'll be particularly extravagant. """"The things I like buying are things that cost about 10 pounds -- books and CDs and DVDs."""" At 18, Radcliffe will be able to gamble in a casino, buy a drink in a pub or see the horror film """"Hostel: Part II,"""" currently six places below his number one movie on the UK box office chart. Details of how he'll mark his landmark birthday are under wraps. His agent and publicist had no comment on his plans. """"I'll definitely have some sort of party,"""" he said in an interview. """"Hopefully none of you will be reading about it."""" Radcliffe's earnings from the first five Potter films have been held in a trust fund which he has not been able to touch. Despite his growing fame and riches, the actor says he is keeping his feet firmly on the ground. """"People are always looking to say 'kid star goes off the rails,'"""" he told reporters last month. """"But I try very hard not to go that way because it would be too easy for them."""" His latest outing as the boy wizard in """"Harry Potter and the Order of the Phoenix"""" is breaking records on both sides of the Atlantic and he will reprise the role in the last two films. Watch I-Reporter give her review of Potter's latest » . There is life beyond Potter, however. The Londoner has filmed a TV movie called """"My Boy Jack,"""" about author Rudyard Kipling and his son, due for release later this year. He will also appear in """"December Boys,"""" an Australian film about four boys who escape an orphanage. Earlier this year, he made his stage debut playing a tortured teenager in Peter Shaffer's """"Equus."""" Meanwhile, he is braced for even closer media scrutiny now that he's legally an adult: """"I just think I'm going to be more sort of fair game,"""" he told Reuters. E-mail to a friend . Copyright 2007 Reuters. All rights reserved.This material may not be published, broadcast, rewritten, or redistributed.",Harry Potter star Daniel Radcliffe gets £20M fortune as he turns 18 Monday . Young actor says he has no plans to fritter his cash away . Radcliffe's earnings from first five Potter films have been held in trust fund .,cnn_dailymail,2026-08-29,,,
T0186,"Summarize this article: Editor's note: In our Behind the Scenes series, CNN correspondents share their experiences in covering news and analyze the stories behind the events. Here, Soledad O'Brien takes users inside a jail where many of the inmates are mentally ill. An inmate housed on the """"forgotten floor,"""" where many mentally ill inmates are housed in Miami before trial. MIAMI, Florida (CNN) -- The ninth floor of the Miami-Dade pretrial detention facility is dubbed the """"forgotten floor."""" Here, inmates with the most severe mental illnesses are incarcerated until they're ready to appear in court. Most often, they face drug charges or charges of assaulting an officer --charges that Judge Steven Leifman says are usually """"avoidable felonies."""" He says the arrests often result from confrontations with police. Mentally ill people often won't do what they're told when police arrive on the scene -- confrontation seems to exacerbate their illness and they become more paranoid, delusional, and less likely to follow directions, according to Leifman. So, they end up on the ninth floor severely mentally disturbed, but not getting any real help because they're in jail. We toured the jail with Leifman. He is well known in Miami as an advocate for justice and the mentally ill. Even though we were not exactly welcomed with open arms by the guards, we were given permission to shoot videotape and tour the floor. Go inside the 'forgotten floor' » . At first, it's hard to determine where the people are. The prisoners are wearing sleeveless robes. Imagine cutting holes for arms and feet in a heavy wool sleeping bag -- that's kind of what they look like. They're designed to keep the mentally ill patients from injuring themselves. That's also why they have no shoes, laces or mattresses. Leifman says about one-third of all people in Miami-Dade county jails are mentally ill. So, he says, the sheer volume is overwhelming the system, and the result is what we see on the ninth floor. Of course, it is a jail, so it's not supposed to be warm and comforting, but the lights glare, the cells are tiny and it's loud. We see two, sometimes three men -- sometimes in the robes, sometimes naked, lying or sitting in their cells. """"I am the son of the president. You need to get me out of here!"""" one man shouts at me. He is absolutely serious, convinced that help is on the way -- if only he could reach the White House. Leifman tells me that these prisoner-patients will often circulate through the system, occasionally stabilizing in a mental hospital, only to return to jail to face their charges. It's brutally unjust, in his mind, and he has become a strong advocate for changing things in Miami. Over a meal later, we talk about how things got this way for mental patients. Leifman says 200 years ago people were considered """"lunatics"""" and they were locked up in jails even if they had no charges against them. They were just considered unfit to be in society. Over the years, he says, there was some public outcry, and the mentally ill were moved out of jails and into hospitals. But Leifman says many of these mental hospitals were so horrible they were shut down. Where did the patients go? Nowhere. The streets. They became, in many cases, the homeless, he says. They never got treatment. Leifman says in 1955 there were more than half a million people in state mental hospitals, and today that number has been reduced 90 percent, and 40,000 to 50,000 people are in mental hospitals. The judge says he's working to change this. Starting in 2008, many inmates who would otherwise have been brought to the """"forgotten floor"""" will instead be sent to a new mental health facility -- the first step on a journey toward long-term treatment, not just punishment. Leifman says it's not the complete answer, but it's a start. Leifman says the best part is that it's a win-win solution. The patients win, the families are relieved, and the state saves money by simply not cycling these prisoners through again and again. And, for Leifman, justice is served. E-mail to a friend .","Mentally ill inmates in Miami are housed on the """"forgotten floor"""" Judge Steven Leifman says most are there as a result of """"avoidable felonies"""" While CNN tours facility, patient shouts: """"I am the son of the president"""" Leifman says the system is unjust and he's fighting for change .",cnn_dailymail,2026-08-29,,,
T0187,"Summarize this article: MINNEAPOLIS, Minnesota (CNN) -- Drivers who were on the Minneapolis bridge when it collapsed told harrowing tales of survival. """"The whole bridge from one side of the Mississippi to the other just completely gave way, fell all the way down,"""" survivor Gary Babineau told CNN. """"I probably had a 30-, 35-foot free fall. And there's cars in the water, there's cars on fire. The whole bridge is down."""" He said his back was injured but he determined he could move around. """"I realized there was a school bus right next to me, and me and a couple of other guys went over and started lifting the kids off the bridge. They were yelling, screaming, bleeding. I think there were some broken bones."""" Watch a driver describe his narrow escape » . At home when he heard about the disaster, Dr. John Hink, an emergency room physician, jumped into his car and rushed to the scene in 15 minutes. He arrived at the south side of the bridge, stood on the riverbank and saw dozens of people lying dazed on an expansive deck. They were in the middle of the Mississippi River, which was churning fast, and he had no way of getting to them. He went to the north side, where there was easier access to people. Ambulances were also having a hard time driving down to the river to get closer to the scene. Working feverishly, volunteers, EMTs and other officials managed to get 55 people into ambulances in less than two hours. Occasionally, a pickup truck with a medic inside would drive to get an injured person and bring him back up even ground, Hink told CNN. The rescue effort was controlled and organized, he said; the opposite of the lightning-quick collapse. """"I could see the whole bridge as it was going down, as it was falling,"""" Babineau said. """"It just gave a rumble real quick, and it all just gave way, and it just fell completely, all the way to the ground. And there was dust everywhere and it was just like everyone has been saying: It was just like out of the movies."""" Babineau said the rear of his pickup truck was dangling over the edge of a broken-off section of the bridge. He said several vehicles slid past him into the water. """"I stayed in my car for one or two seconds. I saw a couple cars fall,"""" he said. """"So I stayed in my car until the cars quit falling for a second, then I got out real quick, ran in front of my truck -- because behind my truck was just a hole -- and I helped a woman off of the bridge with me. """"I just wanted off the bridge, and then I ran over to the school bus. I started grabbing kids and handing them down. It was just complete chaos."""" He said most of the children were crying or screaming. He and other rescuers set them on the ground and told them to run to the river bank, but a few needed to be carried because of their injuries. See rescuers clamber over rubble » . Babineau said he had no rescue training. """"I just knew what I had to do at the moment."""" Melissa Hughes, 32, of Minneapolis, told The Associated Press that she was driving home when the western edge of the bridge collapsed under her. """"You know that free-fall feeling? I felt that twice,"""" Hughes said. A pickup landed on top of her car, but she was not hurt. """"I had no idea there was a vehicle on my car,"""" she told AP. """"It's really very surreal."""" Babineau told the Minneapolis Star-Tribune: """"On the way down, I thought I was dead. I literally thought I was dead. """"My truck was completely face down, pointed toward the ground, and my truck got ripped in half. It was folded in half, and I can't believe I'm alive."""" See and hear eyewitness accounts » . Bernie Toivonen told CNN's """"American Morning"""" that his vehicle was on a part of the bridge that ended up tilted at a 45-degree angle. """"I knew the deck was going down, there was no question about it, and I thought I was going to die,"""" he said. After the bridge settled and his car remained upright, """"I just put in park, turned the key off and said, 'Oh, I'm alive,' """" he said. E-mail to a friend .","NEW: """"I thought I was going to die,"""" driver says . Man says pickup truck was folded in half; he just has cut on face . Driver: """"I probably had a 30-, 35-foot free fall"""" Minnesota bridge collapsed during rush hour Wednesday .",cnn_dailymail,2026-08-29,,,
T0188,"Summarize this article: WASHINGTON (CNN) -- Doctors removed five small polyps from President Bush's colon on Saturday, and """"none appeared worrisome,"""" a White House spokesman said. The polyps were removed and sent to the National Naval Medical Center in Bethesda, Maryland, for routine microscopic examination, spokesman Scott Stanzel said. Results are expected in two to three days. All were small, less than a centimeter [half an inch] in diameter, he said. Bush is in good humor, Stanzel said, and will resume his activities at Camp David. During the procedure Vice President Dick Cheney assumed presidential power. Bush reclaimed presidential power at 9:21 a.m. after about two hours. Doctors used """"monitored anesthesia care,"""" Stanzel said, so the president was asleep, but not as deeply unconscious as with a true general anesthetic. He spoke to first lady Laura Bush -- who is in Midland, Texas, celebrating her mother's birthday -- before and after the procedure, Stanzel said. Afterward, the president played with his Scottish terriers, Barney and Miss Beazley, Stanzel said. He planned to have lunch at Camp David and have briefings with National Security Adviser Stephen Hadley and White House Chief of Staff Josh Bolten, and planned to take a bicycle ride Saturday afternoon. Cheney, meanwhile, spent the morning at his home on Maryland's eastern shore, reading and playing with his dogs, Stanzel said. Nothing occurred that required him to take official action as president before Bush reclaimed presidential power. The procedure was supervised by Dr. Richard Tubb, Bush's physician, and conducted by a multidisciplinary team from the National Naval Medical Center in Bethesda, Maryland, the White House said. Bush's last colonoscopy was in June 2002, and no abnormalities were found, White House spokesman Tony Snow said. The president's doctor had recommended a repeat procedure in about five years. A colonoscopy is the most sensitive test for colon cancer, rectal cancer and polyps, small clumps of cells that can become cancerous, according to the Mayo Clinic. Small polyps may be removed during the procedure. Snow said on Friday that Bush had polyps removed during colonoscopies before becoming president. Snow himself is undergoing chemotherapy for cancer that began in his colon and spread to his liver. Watch Snow talk about Bush's procedure and his own colon cancer » . """"The president wants to encourage everybody to use surveillance,"""" Snow said. The American Cancer Society recommends that people without high risk factors or symptoms begin getting screened for signs of colorectal cancer at age 50. E-mail to a friend .","Five small polyps found during procedure; """"none worrisome,"""" spokesman says . President reclaims powers transferred to vice president . Bush undergoes routine colonoscopy at Camp David .",cnn_dailymail,2026-08-29,,,
T0189,"Summarize this article: (CNN) -- The National Football League has indefinitely suspended Atlanta Falcons quarterback Michael Vick without pay, officials with the league said Friday. NFL star Michael Vick is set to appear in court Monday. A judge will have the final say on a plea deal. Earlier, Vick admitted to participating in a dogfighting ring as part of a plea agreement with federal prosecutors in Virginia. """"Your admitted conduct was not only illegal, but also cruel and reprehensible. Your team, the NFL, and NFL fans have all been hurt by your actions,"""" NFL Commissioner Roger Goodell said in a letter to Vick. Goodell said he would review the status of the suspension after the legal proceedings are over. In papers filed Friday with a federal court in Virginia, Vick also admitted that he and two co-conspirators killed dogs that did not fight well. Falcons owner Arthur Blank said Vick's admissions describe actions that are """"incomprehensible and unacceptable."""" The suspension makes """"a strong statement that conduct which tarnishes the good reputation of the NFL will not be tolerated,"""" he said in a statement. Watch what led to Vick's suspension » . Goodell said the Falcons could """"assert any claims or remedies"""" to recover $22 million of Vick's signing bonus from the 10-year, $130 million contract he signed in 2004, according to The Associated Press. Vick said he would plead guilty to one count of """"Conspiracy to Travel in Interstate Commerce in Aid of Unlawful Activities and to Sponsor a Dog in an Animal Fighting Venture"""" in a plea agreement filed at U.S. District Court in Richmond, Virginia. The charge is punishable by up to five years in prison, a $250,000 fine, """"full restitution, a special assessment and 3 years of supervised release,"""" the plea deal said. Federal prosecutors agreed to ask for the low end of the sentencing guidelines. """"The defendant will plead guilty because the defendant is in fact guilty of the charged offense,"""" the plea agreement said. In an additional summary of facts, signed by Vick and filed with the agreement, Vick admitted buying pit bulls and the property used for training and fighting the dogs, but the statement said he did not bet on the fights or receive any of the money won. """"Most of the 'Bad Newz Kennels' operations and gambling monies were provided by Vick,"""" the official summary of facts said. Gambling wins were generally split among co-conspirators Tony Taylor, Quanis Phillips and sometimes Purnell Peace, it continued. """"Vick did not gamble by placing side bets on any of the fights. Vick did not receive any of the proceeds from the purses that were won by 'Bad Newz Kennels.' """" Vick also agreed that """"collective efforts"""" by him and two others caused the deaths of at least six dogs. Around April, Vick, Peace and Phillips tested some dogs in fighting sessions at Vick's property in Virginia, the statement said. """"Peace, Phillips and Vick agreed to the killing of approximately 6-8 dogs that did not perform well in 'testing' sessions at 1915 Moonlight Road and all of those dogs were killed by various methods, including hanging and drowning. """"Vick agrees and stipulates that these dogs all died as a result of the collective efforts of Peace, Phillips and Vick,"""" the summary said. Peace, 35, of Virginia Beach, Virginia; Phillips, 28, of Atlanta, Georgia; and Taylor, 34, of Hampton, Virginia, already have accepted agreements to plead guilty in exchange for reduced sentences. Vick, 27, is scheduled to appear Monday in court, where he is expected to plead guilty before a judge. See a timeline of the case against Vick » . The judge in the case will have the final say over the plea agreement. The federal case against Vick focused on the interstate conspiracy, but Vick's admission that he was involved in the killing of dogs could lead to local charges, according to CNN legal analyst Jeffrey Toobin. """"It sometimes happens -- not often -- that the state will follow a federal prosecution by charging its own crimes for exactly the same behavior,"""" Toobin said Friday. """"The risk for Vick is, if he makes admissions in his federal guilty plea, the state of Virginia could say, 'Hey, look, you admitted violating Virginia state law as well. We're going to introduce that against you and charge you in our court.' """" In the plea deal, Vick agreed to cooperate with investigators and provide all information he may have on any criminal activity and to testify if necessary. Vick also agreed to turn over any documents he has and to submit to polygraph tests. Vick agreed to """"make restitution for the full amount of the costs associated"""" with the dogs that are being held by the government. """"Such costs may include, but are not limited to, all costs associated with the care of the dogs involved in that case, including if necessary, the long-term care and/or the humane euthanasia of some or all of those animals."""" Prosecutors, with the support of animal rights activists, have asked for permission to euthanize the dogs. But the dogs could serve as important evidence in the cases against Vick and his admitted co-conspirators. Judge Henry E. Hudson issued an order Thursday telling the U.S. Marshals Service to """"arrest and seize the defendant property, and use discretion and whatever means appropriate to protect and maintain said defendant property."""" Both the judge's order and Vick's filing refer to """"approximately"""" 53 pit bull dogs. After Vick's indictment last month, Goodell ordered the quarterback not to report to the Falcons training camp, and the league is reviewing the case. Blank told the NFL Network on Monday he could not speculate on Vick's future as a Falcon, at least not until he had seen """"a statement of facts"""" in the case. E-mail to a friend . CNN's Mike Phelan contributed to this report.","NEW: NFL chief, Atlanta Falcons owner critical of Michael Vick's conduct . NFL suspends Falcons quarterback indefinitely without pay . Vick admits funding dogfighting operation but says he did not gamble . Vick due in federal court Monday; future in NFL remains uncertain .",cnn_dailymail,2026-08-29,,,
T0190,"Summarize this article: BAGHDAD, Iraq (CNN) -- Dressed in a Superman shirt, 5-year-old Youssif held his sister's hand Friday, seemingly unaware that millions of people across the world have been touched by his story. Nearby, his parents talked about the new future and hope they have for their boy -- and the potential for recovery from his severe burns. Youssif holds his sister's hand Friday. He's wearing a facial mask often used to help burn victims. It's the best birthday present the Iraqi family could ever have imagined for their boy: Youssif turns 6 next Friday. """"I was so happy I didn't know what to do with myself,"""" his mother, Zainab, told CNN, a broad smile across her face. """"I didn't think the reaction would be this big."""" His father said he was on the roof of his house when CNN called him with the news about the outpouring of support for his son. """"We just want to thank everyone who has come forward,"""" he said. """"We knew there was kindness out there."""" Like his wife, he couldn't stop smiling. He talked about how he tried in vain to get help for his son in Baghdad, leaving """"no stone unturned"""" on a mission to help his boy. There were many trips to the Ministry of Health. He says he even put in a request to Iraq's parliament for help. The family eventually told CNN their story -- that Youssif was grabbed by masked men outside their home on January 15, doused in gasoline and set on fire. Simply by coming forward, his parents put themselves in incredible danger. No one has been arrested or held accountable in Youssif's case. Watch CNN's Arwa Damon describe 'truly phenomenal' outpouring » . Shortly after Youssif's story aired Wednesday, the Children's Burn Foundation -- a nonprofit organization based in Sherman Oaks, California, that provides support for burn victims locally, nationally and internationally -- agreed to pay for the transportation for Youssif and his family to come to the United States and to set up a fund for donations. You can make a donation at the foundation's site by clicking here. There's a drop-down menu under the """"general donation"""" area that is marked """"Youssif's fund."""" The foundation says it will cover all medical costs -- from surgeries for Youssif to housing costs to any social rehabilitation that might be needed for him. Surgeries will be performed by Dr. Peter Grossman, a plastic surgeon with the affiliated Grossman Burn Center who is donating his services for Youssif's cause. Officials are still trying to get the appropriate visas for the family's travels. """"We are prepared to have them come here, set them up in a housing situation, provide support for them and begin treatment,"""" said Barbara Friedman, executive director of the Children's Burn Foundation. """"We expect that the treatment will be from between six months to a year with many surgeries."""" She added, """"He will be getting the absolute best care that's available."""" Youssif's parents said they know it's going to be a lengthy and difficult process and that adjusting to their stay in America may not be easy. But none of that matters -- getting help for their boy is first and foremost. """"I will do anything for Youssif,"""" his father said, pulling his son closer to him. """"Our child is everything."""" His mother tried to coax Youssif to talk to us on this day. But he didn't want to; his mother says he's shy outside of their home. The biggest obstacle now is getting the visas to leave, and the serious security risks they face every day and hour they remain in Iraq. But this family -- which saw the very worst in humanity on that January day -- has new hope in the world. That is partly due to the tens of thousands of CNN.com users who were so moved by the story and wanted to act. CNN Iraqi staff central to bringing this story together were also overwhelmed with the generosity coming from people outside of their border. In a nation that largely feels abandoned by the rest of the world, it was a refreshing realization. E-mail to a friend . CNN.com senior producer Wayne Drash contributed to this report in Atlanta.","Parents beam with pride, can't stop from smiling from outpouring of support . Mom: """"I was so happy I didn't know what to do"""" Burn center in U.S. has offered to provide treatment for reconstructive surgeries . Dad says, """"Anything for Youssif""""",cnn_dailymail,2026-08-29,,,
T0191,"Summarize this article: BAGHDAD, Iraq (CNN) -- The women are too afraid and ashamed to show their faces or have their real names used. They have been driven to sell their bodies to put food on the table for their children -- for as little as $8 a day. Suha, 37, is a mother of three. She says her husband thinks she is cleaning houses when she leaves home. """"People shouldn't criticize women, or talk badly about them,"""" says 37-year-old Suha as she adjusts the light colored scarf she wears these days to avoid extremists who insist women cover themselves. """"They all say we have lost our way, but they never ask why we had to take this path."""" A mother of three, she wears light makeup, a gold pendant of Iraq around her neck, and an unexpected air of elegance about her. """"I don't have money to take my kid to the doctor. I have to do anything that I can to preserve my child, because I am a mother,"""" she says, explaining why she prostitutes herself. Anger and frustration rise in her voice as she speaks. """"No matter what else I may be, no matter how off the path I may be, I am a mother!"""" Watch a woman describe turning to prostitution to """"save my child"""" » . Her clasped hands clench and unclench nervously. Suha's husband thinks that she is cleaning houses when she goes away. So does Karima's family. """"At the start I was cleaning homes, but I wasn't making much. No matter how hard I worked it just wasn't enough,"""" she says. Karima, clad in all black, adds, """"My husband died of lung cancer nine months ago and left me with nothing."""" She has five children, ages 8 to 17. Her eldest son could work, but she's too afraid for his life to let him go into the streets, preferring to sacrifice herself than risk her child. She was solicited the first time when she was cleaning an office. """"They took advantage of me,"""" she says softly. """"At first I rejected it, but then I realized I have to do it."""" Both Suha and Karima have clients that call them a couple times a week. Other women resort to trips to the market to find potential clients. Or they flag down vehicles. Prostitution is a choice more and more Iraqi women are making just to survive. """"It's increasing,"""" Suha says. """"I found this 'thing' through my friend, and I have another friend in the same predicament as mine. Because of the circumstance, she is forced to do such things."""" Violence, increased cost of living, and lack of any sort of government aid leave women like these with few other options, according to humanitarian workers. """"At this point there is a population of women who have to sell their bodies in order to keep their children alive,"""" says Yanar Mohammed, head and founder of the Organization for Women's Freedom in Iraq. """"It's a taboo that no one is speaking about."""" She adds, """"There is a huge population of women who were the victims of war who had to sell their bodies, their souls and they lost it all. It crushes us to see them, but we have to work on it and that's why we started our team of women activists."""" Her team pounds the streets of Baghdad looking for these victims often too humiliated to come forward. """"Most of the women that we find at hospitals [who] have tried to commit suicide"""" have been involved in prostitution, said Basma Rahim, a member of Mohammed's team. The team's aim is to compile information on specific cases and present it to Iraq's political parties -- to have them, as Mohammed puts it, """"come tell us what [they] are ... going to do about this."""" Rahim tells the heartbreaking story of one woman they found who lives in a room with three of her children: """"She has sex while her three children are in the room, but she makes them stand in separate corners."""" According to Rahim and Mohammed, most of the women they encounter say they are driven to prostitution by a desperate desire for survival in the dangerously violent and unforgiving circumstances in Iraq. """"They took this path but they are not pleased,"""" Rahim says. Karima says when she sees her children with food on the table, she is able to convince herself that it's worth it. """"Everything is for the children. They are the beauty in life and, without them, we cannot live."""" But she says, """"I would never allow my daughter to do this. I would rather marry her off at 13 than have her go through this."""" Karima's last happy memory is of her late husband, when they were a family and able to shoulder the hardships of life in today's Iraq together. Suha says as a young girl she dreamed of being a doctor, with her mom boasting about her potential in that career. Life couldn't have taken her further from that dream. """"It's not like we were born into this, nor was it ever in my blood,"""" she says. What she does for her family to survive now eats away at her. """"I lay on my pillow and my brain is spinning, and it all comes back to me as if I am watching a movie."""" E-mail to a friend .","Aid workers: Violence, increased cost of living drive women to prostitution . Group is working to raise awareness of the problem with Iraq's political leaders . Two Iraqi mothers tell CNN they turned to prostitution to help feed their children . """"Everything is for the children,"""" one woman says .",cnn_dailymail,2026-08-29,,,
T0192,"Summarize this article: BOGOTA, Colombia (CNN) -- A key rebel commander and fugitive from a U.S. drug trafficking indictment was killed over the weekend in an air attack on a guerrilla encampment, the Colombian military said Monday. Alleged cocaine trafficker and FARC rebel Tomas Medina Caracas in an Interpol photo. Tomas Medina Caracas, known popularly as """"El Negro Acacio,"""" was a member of the high command of the Fuerzas Armadas Revolucionarias de Colombia and, according to Colombian and U.S. officials, helped manage the group's extensive cocaine trafficking network. He had been in the cross-hairs of the U.S. Justice Department since 2002. He was charged with conspiracy to import cocaine into the United States and manufacturing and distributing cocaine within Colombia to fund the FARC's 42-year insurgency against the government. U.S. officials alleged Medina Caracas managed the rebel group's sales of cocaine to international drug traffickers, who in turn smuggled it into the United States. He was also indicted in the United States along with two other FARC commanders in November 2002 on charges of conspiring to kidnap two U.S. oil workers from neighboring Venezuela in 1997 and holding one of them for nine months until a $1 million ransom was paid. Officials said the army's Rapid Response Force, backed by elements of the Colombian Air Force, tracked Medina Caracas down at a FARC camp in the jungle in the south of the country. """"After a bombardment, the troops occupied the camp, and they've found 14 dead rebels so far, along with rifles, pistols, communications equipment and ... four GPS systems,"""" Defense Minister Juan Manuel Santos said at a news conference. """"The death of 'El Negro Acacio' was confirmed by various sources, including members of FARC itself."""" Medina Caracas commanded FARC's 16th Front in the southern departments of Vichada and Guainia. Established in 1964 as the military wing of the Colombian Communist Party, FARC is Colombia's oldest, largest, most capable and best-equipped Marxist rebel group, according to the U.S. Department of State. E-mail to a friend . Journalist Fernando Ramos contributed to this report.","Tomas Medina Caracas was a fugitive from a U.S. drug trafficking indictment . """"El Negro Acacio"""" allegedly helped manage extensive cocaine network . U.S. Justice Department indicted him in 2002 . Colombian military: He was killed in an attack on a guerrilla encampment .",cnn_dailymail,2026-08-29,,,
